id;id_type;sort;attrs_cn;attrs_id;attrs_name;center_x;center_y;extent_ymin;extent_ymax;extent_xmin;extent_xmax;stat_rayon_total;stat_rayon_geo;stat_kvartal_total;stat_kvartal_geo;stat_parcel_total;stat_parcel_geo;stat_oks_total;stat_oks_geo
1;4;0;06;6;;4994922.15569211;5340052.56052217;5253511.11375765;5405943.12342739;4951177.54464439;5031132.86628975;7;7;195;195;123852;48163;78432;12649
2;4;0;07;7;;4832213.60615459;5387747.25376612;5295234.60000242;5468623.62344208;4719614.80734012;4950949.63584359;11;11;2814;2766;323059;182867;251405;47969
3;4;0;21;21;;5241829.42025806;7459043.50331827;7290260.61169487;7624085.05207373;5110787.40301016;5390144.42385673;26;26;8326;8311;896265;450888;318763;76970
4;4;0;25;25;;15005523.4496345;5657264.04165592;5204976.11871375;6184373.14492873;14515398.8698372;15477174.053916;36;36;3486;3477;822967;449076;403124;72302
5;4;0;09;9;;4648039.80324664;5430290.98299789;5340453.92418034;5542710.245578;4527993.04456052;4751235.66226646;10;10;1682;1681;298324;152143;135829;33360
6;4;0;32;32;;3720667.88163293;6967587.38522547;6771835.38487155;7175028.41353514;3477802.02507304;3932731.2415551;32;32;23438;23431;949222;523545;483751;84430
7;4;0;16;16;;5667665.61932733;7432502.13478327;7165274.72731227;7694647.57555517;5258388.31073251;6040827.26832593;56;56;19187;19175;2275811;2134463;1219807;287154
8;4;0;34;34;;4904797.41916901;6378834.45634951;6014793.27910972;6665210.81842492;4582816.77619897;5271298.25875957;39;39;5852;5852;1107488;722195;842768;130384
9;4;0;35;35;;4512077.75421444;8394316.78514581;8067347.45466948;8765037.69954572;3866084.01843159;5249354.96537157;28;28;12403;12403;894568;384597;347902;80425
10;4;0;36;36;;4478700.76646375;6618423.10240367;6370075.86630482;6818799.04921745;4245464.74412099;4780919.31067294;34;34;22865;22865;1271606;681192;849085;136075
11;4;0;39;39;;2353987.3141491;7317828.84531575;7230646.39805893;7436740.46325664;2157162.90843937;2547724.85465772;25;25;6823;6741;499447;431762;235559;89117
12;4;0;38;38;;11866066.8164764;7862951.91154823;6644342.36850167;9432069.49362022;10647114.6400813;13262522.630681;37;37;6978;6978;1014445;841831;579178;170293
13;4;0;37;37;;4626199.52794958;7758696.40526163;7628874.53545121;7913077.40861205;4383160.69651274;4822685.11730249;28;28;14042;13557;703516;374553;299444;38796
14;4;0;40;40;;3946275.42796272;7242527.0427829;7034388.89110709;7430096.27726675;3722651.821087;4149470.72593529;29;29;16044;16044;832446;544947;449153;153137
15;4;0;41;41;;17748460.9192934;7311905.82966232;6571405.02368117;7884299.17412861;17279010.7405063;18750127.1202911;9;9;247;246;118553;51211;49058;12356
16;4;0;22;22;;9196376.57715805;6915467.58554888;6557753.73770818;7256471.13299551;8670580.9269253;9703849.54003379;73;73;14897;14897;1746726;1164819;628647;120839
17;4;0;46;46;;;;;;;;33;33;11814;11814;707375;350069;443242;72169
18;4;0;50;50;;4334890.1134;7418108.9367;7218736.015279;7751628.14155618;3912706.65624664;4475617.93250292;62;62;33604;33604;4169952;3007746;3827162;833806
19;4;0;52;52;;4967483.83402291;7627194.74216075;7258179.03188396;7986466.49739384;4650400.50389762;5317885.23264753;59;59;18394;18383;1907164;1076634;987580;240616
20;4;0;58;58;;4968473.52891119;7017929.90504909;6852979.43407191;7175883.29942157;4684551.47981032;5229901.87557629;33;33;9602;9601;803751;588801;414776;81324
21;4;0;03;3;;12203792.3309912;7109539.7368643;6441006.77975565;7811416.94337555;10979430.8805955;13015688.1973708;24;24;16442;16442;637034;580586;263372;76297
22;4;0;49;49;;17154211.0172035;9060322.9315372;8145078.17230377;9970457.76351469;16111104.3604181;18200280.4872694;10;10;712;712;62312;59396;27171;5062
23;4;0;45;45;;7214224.44644215;7451783.35938364;7205739.79410466;7728046.86035078;6898093.78768415;7650123.40039558;26;23;4264;4231;663675;359010;349302;55187
24;4;0;23;23;;4363566.89692235;5664930.85246256;5343800.40948274;5942601.99319734;4066380.51628163;4646902.88364961;53;53;36083;36066;2945689;1978535;2062915;572902
25;4;0;26;26;;4824547.36937563;5615682.27848246;5412660.74475036;5818665.08858525;4547001.86973773;5089021.01235738;36;36;31861;31861;1326567;689646;993487;163484
26;4;0;18;18;;5877440.98201465;7798184.72978128;7530092.3024615;8082854.71814261;5690981.99603635;6059808.73757392;30;30;10510;10510;1176707;798434;498977;99771
27;4;0;59;59;;6322523.15837816;8179388.30212826;7579394.21601677;8779726.63356328;5978206.74487611;6621562.10125842;41;41;31294;31294;1494204;1126192;755105;160365
28;4;0;57;57;;;;;;;;27;27;6645;6645;539595;323140;277530;46477
29;4;0;02;2;;6291377.36389047;7231689.18198535;6722885.77474315;7665584.57119517;5917237.44879335;6679260.20251717;75;75;25192;25192;2187261;2052887;1328587;418453
30;4;0;47;47;;3482083.88588735;8405050.74266531;8055630.76719212;8701803.6350738;2932084.13129964;3973548.8708239;30;30;19974;19967;1433842;967776;1016156;228056
31;4;0;51;51;;3913690.50585402;10406515.066066;9793019.48940501;11158727.544724;3163168.3022021;4731707.24986997;28;28;1833;1824;109951;105296;92821;14214
32;4;0;53;53;;3617620.35074197;8035046.1334558;7741676.15729511;8274500.06196521;3296680.55381739;4033733.87140124;24;24;13334;13334;543483;301969;281980;45970
33;4;0;43;43;;5547148.42577924;8121508.82807295;7570137.16686256;8640708.08091992;5150277.92242572;6003461.43413302;44;44;11674;11674;805704;407577;311365;53785
34;4;0;54;54;;8878646.74388368;7421144.27714595;7037098.61262296;7808885.95164431;8358431.14159063;9475064.99887407;37;37;16587;16587;1363817;1035329;534745;165751
35;4;0;04;4;;9686264.24395187;6578262.53427187;6287113.15926548;6920319.97045562;9343360.01794277;10003739.387089;11;11;2114;2114;243345;151040;81797;23222
36;4;0;42;42;;9706865.0661783;7328085.06056233;6829546.77497199;7726513.34077322;9400706.7227325;9952694.29980072;39;39;8577;8576;1170468;592004;739443;165115
37;4;0;17;17;;10553947.3907897;6730303.19817667;6402201.03833277;7119226.69958777;9882881.55464436;11050867.534955;19;19;2260;2259;168789;148112;68635;43467
38;4;0;55;55;;8164931.43680981;7590491.61025771;7063932.99459791;8089316.12745918;7832119.49179139;8494096.61037113;38;38;7652;7649;944251;484005;448113;87348
39;4;0;31;31;;4173243.49614668;6563923.90504726;6411108.77341792;6698019.53418094;3932436.12191387;4372721.27264421;27;27;18255;18255;983138;541674;693125;154537
40;4;0;60;60;;3259510.69752643;7805417.37743942;7476905.39554714;8184874.62981653;3041032.66584795;3508286.62760157;26;26;21503;21503;556863;258585;254958;46000
41;4;0;48;48;;4358156.19326608;6918630.64604312;6779733.69850541;7092243.69586388;4199176.13375922;4537900.54408212;20;20;29327;29327;703959;353482;525521;81850
42;4;0;44;44;;4875913.46681729;8066134.60465256;7815944.27304881;8316434.9270497;4496202.18225513;5303548.03708237;30;30;12834;12834;469755;177108;248040;34256
43;4;0;56;56;;6188659.4786259;6803383.50713363;6532438.0124248;7239657.09251409;5651260.92210681;6867247.24975054;47;47;30520;30517;1034627;703761;640342;159116
44;4;0;61;61;;4598496.48698029;6068415.51278286;5772655.63969279;6483463.52860679;4254796.25948246;4934110.20608944;59;59;21538;21537;2131860;1502614;3005993;354267
45;4;0;62;62;;4522693.33015734;7235075.51307531;7040372.21029401;7433041.01269739;4303394.42933149;4752462.13615147;29;29;7362;7358;761408;387191;432609;113204
46;4;0;66;66;;6849461.41943906;8111360.29861731;7569160.97655882;8846610.54091445;6370430.89177142;7367681.90514736;72;72;16899;16899;1643094;1480407;1109185;219726
