id;id_type;sort;attrs_cn;attrs_id;attrs_name;center_x;center_y;extent_ymin;extent_ymax;extent_xmin;extent_xmax;stat_kvartal_total;stat_kvartal_geo;stat_parcel_total;stat_parcel_geo;stat_oks_total;stat_oks_geo
1;3;101;01:01;1:1;Гиагинский;4474571.19991907;5595988.81484848;5575736.5258946;5618601.53259214;4445424.87071657;4504526.00279584;675;675;27718;21658;14719;2353
2;3;106;01:06;1:6;Теучежский;4381171.69340295;5607673.65873139;5590778.15792321;5626356.40299552;4348481.83291908;4414139.61948816;324;324;16648;10591;10195;3251
3;3;103;01:03;1:3;Красногвардейский;4415730.5489383;5633411.40654058;5613881.7619264;5655914.07641315;4373711.96840094;4454701.92337114;786;786;26047;21931;13178;1906
4;3;104;01:04;1:4;Майкопский;4471539.07576869;5503697.43228335;5428388.79187091;5581748.1406102;4426264.12907716;4506553.51978175;1159;1159;50715;37776;31358;5438
5;3;3002;30:02;30:2;Володарский;5432181.45851895;5807161.22300064;5728798.41457536;5860702.09166531;5371734.7018875;5495971.03826328;312;310;27286;14754;16686;3906
6;3;1016;10:16;10:16;Суоярвский;3575164.50520364;8950054.26761778;8765818.73404616;9113280.29204828;3426769.49022848;3713277.87592077;250;250;9317;5814;7523;746
7;3;1631;16:31;16:31;Новошешминский;5700761.46869896;7378373.68844246;7333249.6449531;7413891.21764023;5656081.00382237;5741439.84891561;365;365;26457;25265;9046;1869
8;3;2710;27:10;27:10;Николаевский;15642392.8252346;7010118.4575798;6731995.97501047;7226551.9375907;15444431.3349054;15774905.0234779;118;118;7277;1576;3317;420
9;3;1319;13:19;13:19;Темниковский;4816729.53231954;7293232.98107665;7244491.46093832;7351266.96224358;4767847.06295751;4859133.19422309;211;211;17066;7756;9905;982
10;3;3435;34:35;34:35;Волжский городской;4982661.92510277;6242722.46575285;6228311.87743771;6261317.5979686;4968147.14872619;4996324.59287386;74;74;42418;34445;57470;11981
11;3;1501;15:01;15:1;Моздокский;4962110.47624695;5417467.99050948;5372163.51327121;5440097.85980412;4927669.23250423;4992345.02169562;1291;1291;33705;21979;26580;4664
12;3;404;04:04;4:4;Шебалинский;9517865.6271779;6679641.21841558;6614245.75664819;6754798.8630346;9449354.88125268;9594249.0834955;271;271;18597;10055;5362;851
13;3;254;02:54;2:54;Янаульский ный;6112615.39475882;7605721.09521041;7557605.16457961;7665584.57119517;6048471.20620635;6177869.87064925;332;332;34040;33763;16810;6738
14;3;1404;14:04;14:4;Амгинский;14588342.5533846;8540514.20356546;8333030.38411241;8767858.09279874;14332422.6017569;14823546.5037391;58;58;17573;11261;7194;3792
15;3;4101;41:01;41:1;Петропавловск-Камчатский;17680649.6117132;6981899.64656738;6959619.90746458;7006451.85716623;17637576.1480323;17734016.8954455;35;35;13947;12058;14585;3080
16;3;709;07:09;7:9;г. Нальчик;4853373.76196259;5384641.87543908;5370703.8419869;5395664.63337183;4840008.67571802;4866643.9674681;349;349;45552;29777;51535;9324
17;3;4707;47:07;47:7;Всеволожский;3433982.53846569;8456833.51920629;8348079.59804045;8550473.19296505;3330102.07771636;3527087.76384182;3651;3651;218601;179768;178587;45818
18;3;908;09:08;9:8;Малокарачаевский;4725669.59406058;5434827.6605764;5378928.10562337;5471287.83200781;4697415.93482248;4751235.66226645;56;56;33091;11052;10548;3611
19;3;3602;36:02;36:2;Бобровский;4462121.2852533;6636433.58094842;6572052.04617602;6691772.589806;4418002.15163512;4507987.76612515;853;853;32958;12231;29949;3092
20;3;3823;38:23;38:23;Катангский;11961832.456749;8612923.2228614;7889843.00865716;9432069.50596631;11628288.5348575;12306269.5326419;42;42;4495;2876;2840;1763
21;3;4027;40:27;40:27;г. Обнинск;4074422.68278508;7382241.54175797;7371922.8498927;7390342.42371809;4067293.66967753;4081544.85660604;140;140;15861;11701;19236;7866
22;3;3914;39:14;39:14;Балтийский;2222041.6485952;7300374.82000819;7256463.90584891;7324986.63455092;2186183.40452664;2239033.29720357;344;343;9854;9662;6926;2501
23;3;4619;46:19;46:19;Пристенский;4085486.36641458;6663790.31223675;6632863.77426613;6688234.74913411;4047984.6938421;4135584.91691986;238;238;13881;6420;9931;1456
24;3;3221;32:21;32:21;Рогнединский;3740867.72429904;7143484.07428549;7107384.90872339;7176615.96464791;3700845.43728784;3776352.7318922;444;444;11823;7657;3140;182
25;3;5013;50:13;50:13;Пушкинский;4219403.59634658;7577465.61820197;7531823.03461877;7604545.0849798;4194075.14446445;4250907.21495054;704;704;113093;85888;118942;23414
26;3;4408;44:08;44:8;Красносельский;4601017.81277061;7880687.42548124;7842229.67996147;7919115.35020922;4570584.87145898;4634516.76864328;482;482;35064;15033;17221;3529
27;3;3725;37:25;37:25;г. Кинешма;4690970.34106559;7849722.59137726;7842313.33335396;7859376.35008955;4682591.60332505;4703378.72251448;1056;1056;20536;10563;19254;1983
28;3;2519;25:19;25:19;Ханкайский;14678395.8170304;5608102.10013363;5549263.56022145;5675248.65157639;14635728.6312147;14728758.050022;44;41;15154;6359;5657;1245
29;3;2256;22:56;22:56;Хабарский;8852724.9492986;7087438.22396956;7035560.25634884;7139074.46405411;8767529.55505367;8916532.62216216;80;80;31672;16623;4738;1029
30;3;2602;26:02;26:2;Ипатовский;4748495.2144805;5745428.12821137;5704170.47865178;5802188.08025304;4669711.22457525;4826223.04519954;1986;1986;39943;17243;25899;2348
31;3;5102;51:02;51:2;Ловозерский;4172053.6457625;10353419.4735401;9980075.88392461;10709794.4567096;3722393.65912195;4607645.94077667;36;36;2277;2178;3018;254
32;3;5303;53:03;53:3;Валдайский;3688295.61621123;7951703.96688202;7892305.47717615;8010321.56414625;3612284.50996866;3751184.76435149;697;697;27923;21158;15970;2713
33;3;3303;33:03;33:3;Кольчугинский;4371455.9644;7616862.5994;7577532.31225549;7653383.86446997;4353233.02091689;4426124.79515373;295;295;32723;18953;14642;2814
34;3;2908;29:08;29:8;Красноборский;5173393.3748547;8813918.14622919;8688638.39971031;8939609.61716039;4993220.55162351;5360264.31624893;469;469;9970;3760;6155;1107
35;3;4522;45:22;45:22;Шумихинский;7037529.02000568;7438040.96324476;7360111.66598893;7517632.59916193;6983446.26567204;7089165.15779781;142;142;21583;11717;16142;2087
36;3;4905;49:05;49:5;Сусуманский;16461742.5725981;9199424.96680542;8846019.88979749;9494311.86372367;16111104.368863;16892265.3433528;81;81;4543;4308;2118;135
